Cluster,Year_Birth,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age
0,1977.462962962963,20306.25925925926,0.6296296296296297,0.09259259259259259,48.44444444444444,7.2407407407407405,11.11111111111111,11.444444444444445,17.055555555555557,12.11111111111111,22.833333333333332,1.7962962962962963,1.8888888888888888,0.48148148148148145,2.8518518518518516,6.87037037037037,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,48.53703703703695
1,1972.9185423365489,34981.5718113612,0.8435155412647374,0.42229367631296894,49.566988210075024,42.68810289389067,5.371918542336549,25.59699892818864,7.404072883172562,5.145766345123258,16.331189710610932,2.1136120042872455,2.1693461950696675,0.5444801714898178,3.2282958199356915,6.532690246516613,0.07395498392282958,0.0053590568060021436,0.0,0.0010718113612004287,0.0021436227224008574,0.012861736334405145,0.09646302250803858,53.08145766345115
2,1961.6881355932203,56460.49745762712,0.2288135593220339,0.9694915254237289,47.69322033898305,417.2593220338983,15.440677966101696,112.5813559322034,22.15593220338983,15.661016949152541,51.996610169491525,3.6491525423728812,5.8559322033898304,2.7542372881355934,7.147457627118644,5.745762711864407,0.061016949152542375,0.13220338983050847,0.003389830508474576,0.03220338983050847,0.010169491525423728,0.006779661016949152,0.11016949152542373,64.3118644067797
3,1968.28125,73061.42291666666,0.0625,0.28958333333333336,50.2125,489.19166666666666,70.78125,409.5229166666667,101.37083333333334,70.99375,77.375,1.6520833333333333,5.352083333333334,5.610416666666667,8.508333333333333,3.1166666666666667,0.04791666666666667,0.03125,0.0,0.07916666666666666,0.0,0.008333333333333333,0.14166666666666666,57.71875
4,1969.6065573770493,81407.34426229508,0.04918032786885246,0.13114754098360656,48.6448087431694,872.1420765027323,55.84699453551912,472.53551912568304,79.22404371584699,64.74863387978142,78.2568306010929,1.0546448087431695,5.46448087431694,6.0710382513661205,8.21311475409836,3.0437158469945356,0.15846994535519127,0.3770491803278688,0.8797814207650273,0.46994535519125685,0.12021857923497267,0.00546448087431694,0.5956284153005464,56.393442622950715
